xgboost,0.01120.5{'activity_auc': 0.84004657230168, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8596287184075151, 'Washing Machine': 0.8613924338071665, 'Dishwasher': 0.8737352042764414}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.01121.0{'activity_auc': 0.8378899797934887, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8794154924327144, 'Washing Machine': 0.8741390011656599, 'Dishwasher': 0.8805921471299477}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.01180.0{'activity_auc': 0.8392836680999671, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8440468202490122, 'Washing Machine': 0.8492135579877984, 'Dishwasher': 0.8666157566501209}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.01180.5{'activity_auc': 0.837533223037856, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8596287184075151, 'Washing Machine': 0.8615135413355133, 'Dishwasher': 0.8737352042764414}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.01181.0{'activity_auc': 0.8350227462326081, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8794154924327144, 'Washing Machine': 0.8741390011656599, 'Dishwasher': 0.8806080565101184}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.160.0{'activity_auc': 0.8512488618045362, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8923432490867068, 'Washing Machine': 0.9077614787229211, 'Dishwasher': 0.9046232658775615}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.160.5{'activity_auc': 0.8502800374163074, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9114292104674571, 'Washing Machine': 0.9201598619374177, 'Dishwasher': 0.9155371006745576}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.161.0{'activity_auc': 0.851514375758342, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9217177365242676, 'Washing Machine': 0.9246408404862467, 'Dishwasher': 0.9220281277841414}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1120.0{'activity_auc': 0.8433537989291474, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8964735704167598, 'Washing Machine': 0.9129236871187005, 'Dishwasher': 0.9075346824487718}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1120.5{'activity_auc': 0.8446168618569423, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9155595317975098, 'Washing Machine': 0.9231118579408693, 'Dishwasher': 0.9192121674939544}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1121.0{'activity_auc': 0.8418698296395509, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9285171102661598, 'Washing Machine': 0.9311352316938403, 'Dishwasher': 0.9292191676212294}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1180.0{'activity_auc': 0.845302833559508, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8964735704167598, 'Washing Machine': 0.9127571642672238, 'Dishwasher': 0.9075505918289423}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1180.5{'activity_auc': 0.8452672202721854, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9157086408707971, 'Washing Machine': 0.9232481039102594, 'Dishwasher': 0.919403080056001}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.1181.0{'activity_auc': 0.8431895748834094, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9279654066949974, 'Washing Machine': 0.9314531389557503, 'Dishwasher': 0.929728267786687}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.360.0{'activity_auc': 0.8398866894376812, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.895556549616044, 'Washing Machine': 0.9082761857183947, 'Dishwasher': 0.9066914852997326}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.360.5{'activity_auc': 0.8360919636979465, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9189144859464699, 'Washing Machine': 0.9288947424194257, 'Dishwasher': 0.9243827160493826}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.361.0{'activity_auc': 0.8365792548494119, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9339595914411392, 'Washing Machine': 0.9379475301633438, 'Dishwasher': 0.9354556446480845}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.3120.0{'activity_auc': 0.8377044527631075, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8954372623574145, 'Washing Machine': 0.9116671965121032, 'Dishwasher': 0.9089824360442917}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.3120.5{'activity_auc': 0.8390855334459719, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9200178930887944, 'Washing Machine': 0.9293337572096826, 'Dishwasher': 0.9245736286114292}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.3121.0{'activity_auc': 0.839243258716651, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9361514948184597, 'Washing Machine': 0.9386741753334241, 'Dishwasher': 0.9356465572101311}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
